HDI rank,Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank
142,Timor-Leste,0.634,67.7,13.3,6.2,"5,435",8,142
143,Ghana,0.628,65.5,11.4,7.1,"6,846",-8,144
143,Kenya,0.628,63.6,11.5,8.6,"5,608",3,143
145,Nepal,0.622,70.4,13.8,4.5,"4,726",10,150
146,Vanuatu,0.621,71.5,11.8,7.2,"3,404",20,145
147,Lao People's Democratic Republic,0.617,69.0,9.6,6.1,"8,106",-18,147
148,Angola,0.616,64.6,12.2,6.0,"6,631",-11,146
149,Micronesia (Federated States of),0.615,67.2,11.5,7.3,"4,246",7,147
150,Myanmar,0.609,66.9,11.5,6.4,"4,919",3,149
151,Cambodia,0.606,70.7,11.2,5.2,"4,931",1,151
152,Comoros,0.603,66.8,13.3,6.0,"3,481",12,151
153,Zimbabwe,0.598,62.8,11.1,8.9,"3,511",9,153
154,Zambia,0.595,66.3,11.0,7.4,"3,447",11,154
155,Cameroon,0.588,63.7,10.8,6.6,"4,746",-1,156
156,Solomon Islands,0.584,70.5,11.3,5.9,"2,777",18,155
157,Côte d'Ivoire,0.582,61.9,11.4,4.9,"6,735",-21,162
157,Uganda,0.582,68.3,11.6,6.3,"2,736",18,157
159,Rwanda,0.578,67.8,12.6,4.9,"2,971",9,160
160,Papua New Guinea,0.576,66.1,11.5,5.0,"3,971",-2,158
161,Togo,0.571,62.7,13.1,5.9,"2,856",9,161
162,Syrian Arab Republic,0.564,72.1,7.4,5.9,"3,918",-3,159
163,Mauritania,0.563,68.5,7.9,4.9,"6,267",-23,163
164,Nigeria,0.560,54.5,10.5,7.6,"5,569",-16,164
165,Tanzania (United Republic of),0.555,67.0,8.6,6.1,"3,515",-4,165
166,Haiti,0.554,64.9,10.9,5.4,"2,935",3,166
167,Lesotho,0.550,57.4,11.0,7.7,"3,029",0,167
168,Pakistan,0.544,67.6,7.9,4.3,"5,501",-19,168
169,Senegal,0.530,68.7,9.1,2.9,"4,202",-12,169
170,Gambia,0.524,65.9,9.0,4.7,"2,812",1,170
171,Congo (Democratic Republic of the),0.522,61.9,10.9,7.4,"1,431",17,172
172,Malawi,0.517,67.4,9.9,5.2,"1,634",12,173
173,Benin,0.515,60.8,10.4,3.2,"3,806",-13,174
174,Guinea-Bissau,0.514,64.1,10.6,3.7,"2,403",2,175
175,Djibouti,0.513,66.0,6.2,4.0,"6,368",-36,176
176,Sudan,0.511,66.3,8.6,4.0,"2,810",-4,171
177,Liberia,0.510,62.2,10.5,6.2,"1,538",9,177
178,Eritrea,0.503,68.6,7.3,5.1,"2,029",1,178
179,Guinea,0.500,60.7,10.4,2.5,"3,494",-16,179
180,Ethiopia,0.497,67.3,9.2,2.4,"2,796",-7,181
181,Afghanistan,0.496,66.0,10.8,2.5,"1,972",-1,180
182,Mozambique,0.493,63.6,10.8,4.6,"1,356",7,182
183,Madagascar,0.487,63.6,9.1,4.6,"1,656",0,183
184,Yemen,0.470,69.3,7.5,5.5,"1,018",7,184
185,Sierra Leone,0.467,61.8,9.1,3.5,"1,714",-3,185
186,Burkina Faso,0.459,61.1,8.7,2.3,"2,391",-9,186
187,Burundi,0.439,63.7,9.8,3.5,859,5,187
188,Mali,0.419,60.4,7.0,1.6,"2,342",-10,188
188,Niger,0.419,61.2,8.3,1.4,"1,590",-3,189
190,Chad,0.416,55.1,8.3,2.3,"1,748",-9,189
191,Central African Republic,0.414,57.4,7.4,4.0,"1,100",-1,..
192,Somalia,0.404,58.8,7.5,1.9,"1,475",-5,192
193,South Sudan,0.388,57.6,5.6,5.7,688,0,191
